Title,Category,Label
ring_00001,Baby Monitoring,Normal
ring_00002,Baby Monitoring,Vague Abnormal
ring_00004,Wildlife,Abnormal
ring_00007,Security,Abnormal
ring_00009,Wildlife,Vague Abnormal
ring_00012,Wildlife,Abnormal
ring_00014,Wildlife,Abnormal
ring_00018,Wildlife,Abnormal
ring_00019,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_00022,Security,Abnormal
ring_00024,Security,Normal
ring_00025,Pet Monitoring,Abnormal
ring_00026,Wildlife,Normal
ring_00027,Pet Monitoring,Normal
ring_00030,Wildlife,Abnormal
ring_00031,Security,Vague Abnormal
ring_00034,Pet Monitoring,Normal
ring_00036,"{""choices"":[""Security"",""Pet Monitoring"",""Kid Monitoring""]}",Normal
ring_00037,"{""choices"":[""Security"",""Pet Monitoring""]}",Normal
ring_00040,Wildlife,Normal
ring_00041,Wildlife,Abnormal
ring_00042,"{""choices"":[""Security"",""Pet Monitoring""]}",Vague Abnormal
ring_00043,Security,Normal
ring_00044,Security,Normal
ring_00045,Baby Monitoring,Normal
ring_00046,Pet Monitoring,Normal
ring_00047,Security,Abnormal
ring_00048,Pet Monitoring,Normal
ring_00049,Wildlife,Abnormal
ring_00051,Pet Monitoring,Normal
ring_00054,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00056,"{""choices"":[""Security"",""Baby Monitoring""]}",Normal
ring_00058,Kid Monitoring,Normal
ring_00059,Wildlife,Abnormal
ring_00061,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal
ring_00064,Pet Monitoring,Normal
ring_00065,Pet Monitoring,Abnormal
ring_00068,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00069,Pet Monitoring,Abnormal
ring_00070,Pet Monitoring,Abnormal
ring_00072,Pet Monitoring,Normal
ring_00074,Security,Normal
ring_00077,Wildlife,Abnormal
ring_00078,Wildlife,Abnormal
ring_00079,Pet Monitoring,Normal
ring_00080,Other Category,Normal
ring_00082,Wildlife,Abnormal
ring_00083,Security,Normal
ring_00084,Security,Abnormal
ring_00085,Kid Monitoring,Normal
ring_00086,Wildlife,Abnormal
ring_00087,Pet Monitoring,Abnormal
ring_00088,Wildlife,Abnormal
ring_00090,Wildlife,Abnormal
ring_00091,Wildlife,Vague Abnormal
ring_00093,Wildlife,Abnormal
ring_00094,Security,Normal
ring_00095,Pet Monitoring,Normal
ring_00099,Wildlife,Abnormal
ring_00100,Wildlife,Abnormal
ring_00103,Wildlife,Abnormal
ring_00104,Pet Monitoring,Normal
ring_00106,Pet Monitoring,Normal
ring_00107,Pet Monitoring,Abnormal
ring_00110,Pet Monitoring,Abnormal
ring_00113,Wildlife,Abnormal
ring_00115,Senior Care,Vague Abnormal
ring_00116,Pet Monitoring,Abnormal
ring_00118,Wildlife,Abnormal
ring_00119,Wildlife,Abnormal
ring_00120,"{""choices"":[""Security"",""Wildlife""]}",Abnormal
ring_00121,Security,Vague Abnormal
ring_00124,Wildlife,Abnormal
ring_00126,Wildlife,Abnormal
ring_00129,Pet Monitoring,Normal
ring_00135,Security,Normal
ring_00136,Wildlife,Abnormal
ring_00147,Pet Monitoring,Normal
ring_00149,Security,Abnormal
ring_00150,Wildlife,Abnormal
ring_00151,Pet Monitoring,Vague Abnormal
ring_00152,Kid Monitoring,Normal
ring_00153,Security,Abnormal
ring_00154,Pet Monitoring,Normal
ring_00157,Wildlife,Abnormal
ring_00158,Security,Abnormal
ring_00159,Wildlife,Abnormal
ring_00160,Security,Vague Abnormal
ring_00161,Wildlife,Normal
ring_00162,Wildlife,Abnormal
ring_00163,Pet Monitoring,Normal
ring_00165,Pet Monitoring,Abnormal
ring_00166,Pet Monitoring,Vague Abnormal
ring_00168,Security,Abnormal
ring_00170,Pet Monitoring,Abnormal
ring_00172,Wildlife,Abnormal
ring_00173,Security,Abnormal
ring_00174,Security,Normal
ring_00175,Wildlife,Abnormal
ring_00180,Security,Normal
ring_00181,Pet Monitoring,Normal
ring_00182,Wildlife,Abnormal
ring_00183,Security,Abnormal
ring_00184,Wildlife,Abnormal
ring_00186,Wildlife,Abnormal
ring_00187,Pet Monitoring,Normal
ring_00189,Kid Monitoring,Normal
ring_00190,Wildlife,Abnormal
ring_00194,Wildlife,Abnormal
ring_00196,Wildlife,Abnormal
ring_00197,Wildlife,Vague Abnormal
ring_00199,Wildlife,Abnormal
ring_00200,Pet Monitoring,Normal
ring_00203,Wildlife,Normal
ring_00204,Security,Normal
ring_00207,Wildlife,Abnormal
ring_00208,Security,Abnormal
ring_00210,Security,Abnormal
ring_00211,Wildlife,Abnormal
ring_00213,Kid Monitoring,Abnormal
ring_00216,Pet Monitoring,Normal
ring_00217,Wildlife,Abnormal
ring_00218,Security,Vague Abnormal
ring_00219,Pet Monitoring,Normal
ring_00220,Security,Normal
ring_00221,Security,Abnormal
ring_00224,Pet Monitoring,Abnormal
ring_00225,Wildlife,Abnormal
ring_00226,Security,Abnormal
ring_00227,Security,Abnormal
ring_00231,Pet Monitoring,Vague Abnormal
ring_00232,Baby Monitoring,Normal
ring_00233,Pet Monitoring,Normal
ring_00235,Pet Monitoring,Abnormal
ring_00236,Security,Abnormal
ring_00237,Wildlife,Abnormal
ring_00239,Wildlife,Abnormal
ring_00240,Wildlife,Abnormal
ring_00241,Security,Normal
ring_00242,Wildlife,Abnormal
ring_00244,Pet Monitoring,Normal
ring_00245,Pet Monitoring,Normal
ring_00246,Pet Monitoring,Abnormal
ring_00249,Pet Monitoring,Normal
ring_00250,Wildlife,Abnormal
ring_00251,Wildlife,Abnormal
ring_00255,Security,Abnormal
ring_00256,Wildlife,Abnormal
ring_00257,Wildlife,Abnormal
ring_00258,Security,Vague Abnormal
ring_00259,Wildlife,Abnormal
ring_00261,Wildlife,Abnormal
ring_00263,Wildlife,Normal
ring_00264,Pet Monitoring,Vague Abnormal
ring_00265,Security,Abnormal
ring_00266,Wildlife,Abnormal
ring_00268,Wildlife,Abnormal
ring_00270,Wildlife,Abnormal
ring_00271,Pet Monitoring,Normal
ring_00272,Security,Normal
ring_00275,Security,Vague Abnormal
ring_00277,Pet Monitoring,Normal
ring_00279,Kid Monitoring,Abnormal
ring_00280,Security,Normal
ring_00281,Wildlife,Abnormal
ring_00282,Security,Abnormal
ring_00285,Baby Monitoring,Normal
ring_00287,Security,Abnormal
ring_00290,Security,Abnormal
ring_00294,Wildlife,Abnormal
ring_00296,Wildlife,Abnormal
ring_00297,Wildlife,Abnormal
ring_00300,Pet Monitoring,Normal
ring_00301,Wildlife,Abnormal
ring_00304,Wildlife,Abnormal
ring_00309,Pet Monitoring,Normal
ring_00310,Security,Abnormal
ring_00311,Security,Normal
ring_00312,Security,Normal
ring_00313,Security,Abnormal
ring_00314,Security,Normal
ring_00316,Wildlife,Abnormal
ring_00317,Security,Abnormal
ring_00319,Wildlife,Abnormal
ring_00320,Security,Abnormal
ring_00321,Security,Normal
ring_00322,Wildlife,Normal
ring_00323,Pet Monitoring,Abnormal
ring_00324,Security,Vague Abnormal
ring_00325,Security,Abnormal
ring_00326,Wildlife,Abnormal
ring_00327,Security,Normal
ring_00328,"{""choices"":[""Security"",""Pet Monitoring""]}",Vague Abnormal
ring_00329,Baby Monitoring,Normal
ring_00333,Wildlife,Abnormal
ring_00334,Wildlife,Abnormal
ring_00335,Kid Monitoring,Normal
ring_00336,Security,Vague Abnormal
ring_00338,Security,Normal
ring_00340,Pet Monitoring,Normal
ring_00341,Pet Monitoring,Abnormal
ring_00344,Wildlife,Abnormal
ring_00346,Security,Normal
ring_00348,Wildlife,Vague Abnormal
ring_00349,Pet Monitoring,Normal
ring_00352,Wildlife,Vague Abnormal
ring_00355,Pet Monitoring,Normal
ring_00356,Wildlife,Abnormal
ring_00358,Security,Vague Abnormal
ring_00360,Pet Monitoring,Normal
ring_00363,Security,Normal
ring_00364,Security,Vague Abnormal
ring_00365,Kid Monitoring,Normal
ring_00366,Pet Monitoring,Normal
ring_00368,Pet Monitoring,Abnormal
ring_00369,Security,Normal
ring_00370,Security,Normal
ring_00371,Kid Monitoring,Abnormal
ring_00373,Kid Monitoring,Abnormal
ring_00390,Kid Monitoring,Normal
ring_00391,Security,Vague Abnormal
ring_00392,Security,Abnormal
ring_00393,Wildlife,Abnormal
ring_00396,Pet Monitoring,Normal
ring_00397,Pet Monitoring,Abnormal
ring_00401,Security,Normal
ring_00402,Pet Monitoring,Normal
ring_00403,Security,Vague Abnormal
ring_00404,Wildlife,Abnormal
ring_00405,Wildlife,Abnormal
ring_00406,Wildlife,Abnormal
ring_00407,Security,Normal
ring_00408,Wildlife,Abnormal
ring_00412,Security,Abnormal
ring_00413,Wildlife,Abnormal
ring_00419,Security,Abnormal
ring_00423,Wildlife,Abnormal
ring_00425,Wildlife,Abnormal
ring_00429,Security,Vague Abnormal
ring_00430,Security,Normal
ring_00431,Wildlife,Abnormal
ring_00432,Security,Abnormal
ring_00438,Wildlife,Abnormal
ring_00439,Security,Abnormal
ring_00440,Security,Abnormal
ring_00441,Pet Monitoring,Abnormal
ring_00443,Wildlife,Abnormal
ring_00444,Security,Abnormal
ring_00445,Wildlife,Abnormal
ring_00446,Security,Normal
ring_00447,Wildlife,Abnormal
ring_00448,Pet Monitoring,Normal
ring_00449,Security,Normal
ring_00453,Wildlife,Abnormal
ring_00455,Wildlife,Abnormal
ring_00456,Security,Vague Abnormal
ring_00459,Wildlife,Abnormal
ring_00460,"{""choices"":[""Pet Monitoring"",""Kid Monitoring""]}",Normal
ring_00461,Security,Vague Abnormal
ring_00462,Pet Monitoring,Abnormal
ring_00463,Security,Normal
ring_00465,Wildlife,Abnormal
ring_00466,Security,Normal
ring_00469,Security,Normal
ring_00470,Security,Abnormal
ring_00471,Security,Normal
ring_00473,Pet Monitoring,Normal
ring_00474,Security,Vague Abnormal
ring_00477,Security,Normal
ring_00480,Security,Abnormal
ring_00481,Security,Vague Abnormal
ring_00483,Security,Abnormal
ring_00484,Security,Vague Abnormal
ring_00490,Security,Vague Abnormal
ring_00492,Security,Abnormal
ring_00493,Security,Normal
ring_00494,Security,Vague Abnormal
ring_00495,Wildlife,Abnormal
ring_00496,Wildlife,Abnormal
ring_00497,Security,Abnormal
ring_00499,Wildlife,Abnormal
ring_00504,Pet Monitoring,Normal
ring_00505,Wildlife,Abnormal
ring_00509,Security,Normal
ring_00511,Wildlife,Abnormal
ring_00512,Security,Abnormal
ring_00515,Security,Abnormal
ring_00516,Wildlife,Abnormal
ring_00518,Wildlife,Abnormal
ring_00521,Wildlife,Normal
ring_00522,Pet Monitoring,Abnormal
ring_00524,Security,Abnormal
ring_00525,Pet Monitoring,Abnormal
ring_00529,Wildlife,Abnormal
ring_00530,Security,Normal
ring_00531,Wildlife,Abnormal
ring_00532,Wildlife,Abnormal
ring_00533,Security,Vague Abnormal
ring_00534,Security,Abnormal
ring_00535,Wildlife,Abnormal
ring_00538,Wildlife,Abnormal
ring_00539,Security,Abnormal
ring_00540,Wildlife,Abnormal
ring_00543,Wildlife,Abnormal
ring_00544,Security,Abnormal
ring_00545,Wildlife,Normal
ring_00546,Security,Normal
ring_00547,Security,Normal
ring_00548,Security,Abnormal
ring_00550,Other Category,Abnormal
ring_00552,Security,Normal
ring_00554,Security,Abnormal
ring_00555,Wildlife,Abnormal
ring_00556,Wildlife,Abnormal
ring_00560,Pet Monitoring,Abnormal
ring_00561,Security,Vague Abnormal
ring_00565,Wildlife,Abnormal
ring_00567,Baby Monitoring,Normal
ring_00570,Security,Abnormal
ring_00571,Pet Monitoring,Normal
ring_00572,Pet Monitoring,Normal
ring_00577,Wildlife,Abnormal
ring_00579,Wildlife,Abnormal
ring_00580,Security,Abnormal
ring_00585,Security,Abnormal
ring_00586,Wildlife,Abnormal
ring_00594,Security,Abnormal
ring_00595,Security,Normal
ring_00600,Security,Normal
ring_00601,Pet Monitoring,Abnormal
ring_00604,Pet Monitoring,Normal
ring_00605,Security,Abnormal
ring_00606,Security,Normal
ring_00607,"{""choices"":[""Pet Monitoring"",""Kid Monitoring""]}",Normal
ring_00609,Security,Abnormal
ring_00611,Security,Normal
ring_00612,Security,Normal
ring_00614,Security,Vague Abnormal
ring_00616,Kid Monitoring,Vague Abnormal
ring_00617,Security,Normal
ring_00621,Security,Normal
ring_00622,Pet Monitoring,Normal
