No.,Title,Time
1,smartbench_0011,0
2,smartbench_0019,20
3,smartbench_0022,21
4,smartbench_0024,21
5,smartbench_0028,22
6,smartbench_0031,21
7,smartbench_0048,21
8,smartbench_0051,0
9,smartbench_0057,21
10,smartbench_0095,0
11,smartbench_0101,21
12,smartbench_0105,21
13,smartbench_0107,6
14,smartbench_0112,22
15,smartbench_0131,0
16,smartbench_0134,21
17,smartbench_0136,21
18,smartbench_0150,-6
19,smartbench_0157,21
20,smartbench_0158,21
21,smartbench_0171,21
22,smartbench_0176,21
23,smartbench_0184,21
24,smartbench_0187,21
25,smartbench_0188,21
26,smartbench_0191,21
27,smartbench_0197,21
28,smartbench_0199,21
29,smartbench_0202,21
30,smartbench_0205,21
31,smartbench_0211,4
32,smartbench_0212,21
33,smartbench_0213,4
34,smartbench_0214,21
35,smartbench_0218,5
36,smartbench_0219,5
37,smartbench_0220,21
38,smartbench_0221,21
39,smartbench_0223,21
40,smartbench_0225,6
41,smartbench_0226,21
42,smartbench_0227,21
43,smartbench_0228,21
44,smartbench_0229,21
45,smartbench_0230,21
46,smartbench_0231,21
47,smartbench_0232,21
48,smartbench_0233,21
49,smartbench_0234,21
50,smartbench_0235,21
51,smartbench_0236,21
52,smartbench_0237,21
53,smartbench_0238,21
54,smartbench_0239,21
55,smartbench_0240,21
56,smartbench_0241,21
57,smartbench_0242,21
58,smartbench_0243,30
59,smartbench_0244,30
60,smartbench_0245,30
61,smartbench_0246,30
62,smartbench_0247,30
63,smartbench_0248,30
64,smartbench_0249,30
65,smartbench_0250,30
66,smartbench_0251,30
67,smartbench_0252,30
68,smartbench_0253,30
69,smartbench_0254,30
70,smartbench_0255,30
71,smartbench_0256,31
72,smartbench_0257,30
73,smartbench_0258,30
74,smartbench_0259,30
75,smartbench_0260,30
76,smartbench_0261,30
77,smartbench_0262,30
78,smartbench_0263,30
79,smartbench_0264,30
80,smartbench_0265,30
81,smartbench_0266,30
82,smartbench_0267,30
83,smartbench_0268,30
84,smartbench_0269,30
85,smartbench_0270,30
86,smartbench_0271,30
87,smartbench_0272,30
88,smartbench_0273,30
89,smartbench_0274,30
90,smartbench_0275,30
91,smartbench_0276,30
92,smartbench_0277,31
93,smartbench_0282,31
94,smartbench_0283,30
95,smartbench_0284,31
96,smartbench_0285,7
97,smartbench_0289,7
98,smartbench_0290,8
99,smartbench_0292,7
100,smartbench_0293,8
101,smartbench_0295,7
102,smartbench_0297,7
103,smartbench_0299,7
104,smartbench_0300,7
105,smartbench_0301,7
106,smartbench_0302,7
107,smartbench_0303,7
108,smartbench_0304,7
109,smartbench_0305,8
110,smartbench_0306,7
111,smartbench_0307,7
112,smartbench_0308,7
113,smartbench_0309,8
114,smartbench_0311,7
115,smartbench_0313,7
116,smartbench_0314,8
117,smartbench_0315,7
118,smartbench_0317,8
119,smartbench_0319,8
120,smartbench_0322,7
121,smartbench_0323,8
122,smartbench_0324,7
123,smartbench_0326,8
124,smartbench_0328,7
125,smartbench_0331,7
126,smartbench_0332,7
127,smartbench_0333,7
128,smartbench_0335,8
129,smartbench_0336,7
130,smartbench_0338,7
131,smartbench_0339,7
132,smartbench_0340,8
133,smartbench_0341,7
134,smartbench_0342,7
135,smartbench_0344,8
136,smartbench_0345,8
137,smartbench_0346,8
138,smartbench_0348,8
139,smartbench_0350,8
140,smartbench_0351,8
141,smartbench_0352,8
142,smartbench_0353,8
143,smartbench_0354,8
144,smartbench_0356,8
145,smartbench_0357,8
146,smartbench_0359,8
147,smartbench_0360,8
148,smartbench_0363,8
149,smartbench_0365,8
150,smartbench_0366,8
151,smartbench_0367,8
152,smartbench_0368,8
153,smartbench_0373,8
154,smartbench_0374,8
155,smartbench_0378,8
156,smartbench_0380,8
157,smartbench_0383,8
158,smartbench_0388,8
159,smartbench_0390,8
160,smartbench_0394,8
161,smartbench_0395,8
162,smartbench_0396,8
163,smartbench_0397,8
164,smartbench_0399,8
165,smartbench_0400,13
166,smartbench_0403,8
167,smartbench_0404,8
168,smartbench_0406,8
169,smartbench_0407,8
170,smartbench_0409,8
171,smartbench_0411,8
172,smartbench_0412,8
173,smartbench_0415,8
174,smartbench_0420,8
175,smartbench_0423,8
176,smartbench_0424,8
177,smartbench_0433,8
178,smartbench_0440,8
179,smartbench_0441,8
180,smartbench_0444,8
181,smartbench_0445,8
182,smartbench_0447,8
183,smartbench_0449,8
184,smartbench_0451,8
185,smartbench_0452,8
186,smartbench_0453,8
187,smartbench_0454,8
188,smartbench_0455,8
189,smartbench_0456,6
190,smartbench_0459,8
191,smartbench_0460,8
192,smartbench_0463,8
193,smartbench_0466,8
194,smartbench_0467,8
195,smartbench_0469,8
196,smartbench_0473,8
197,smartbench_0474,11
198,smartbench_0475,9
199,smartbench_0476,8
200,smartbench_0477,8
201,smartbench_0485,22
202,smartbench_0507,19
203,smartbench_0508,8
204,smartbench_0509,6
205,smartbench_0510,5
206,smartbench_0511,16
207,smartbench_0512,-17
208,smartbench_0513,21
209,smartbench_0514,11
210,smartbench_0519,-19
211,smartbench_0520,11
212,smartbench_0522,-35
213,smartbench_0523,23
214,smartbench_0524,-27
215,smartbench_0526,33
216,smartbench_0530,24
217,smartbench_0531,9
218,smartbench_0532,18
219,smartbench_0533,7
220,smartbench_0535,12
221,smartbench_0536,8
222,smartbench_0538,9
223,smartbench_0543,6
224,smartbench_0544,23
225,smartbench_0545,-50
226,smartbench_0546,-16
227,smartbench_0548,-20
228,smartbench_0549,-27
229,smartbench_0551,23
230,smartbench_0555,8
231,smartbench_0556,5
232,smartbench_0557,5
233,smartbench_0558,5
234,smartbench_0559,5
235,smartbench_0560,-3
236,smartbench_0561,-3
237,smartbench_0562,-3
238,smartbench_0563,-3
239,smartbench_0564,-3
240,smartbench_0566,-9
241,smartbench_0573,11
242,smartbench_0574,11
243,smartbench_0576,5
244,smartbench_0578,7
245,smartbench_0582,6
246,smartbench_0583,-10
247,smartbench_0590,6
248,smartbench_0591,7
249,smartbench_0592,4
250,smartbench_0594,6
251,smartbench_0598,-4
252,smartbench_0602,-1
253,smartbench_0607,-5
254,smartbench_0613,5
255,smartbench_0614,-28
256,smartbench_0616,29
257,smartbench_0628,22
258,smartbench_0630,22
259,smartbench_0632,22
260,smartbench_0665,-20
261,smartbench_0667,22
262,smartbench_0675,9
263,smartbench_0678,22
264,smartbench_0682,22
265,smartbench_0683,22
266,smartbench_0702,22
267,smartbench_0715,22
268,smartbench_0717,22
269,smartbench_0718,22
270,smartbench_0722,41
271,smartbench_0725,22
272,smartbench_0727,22
273,smartbench_0729,22
274,smartbench_0733,22
275,smartbench_0734,22
276,smartbench_0736,22
277,smartbench_0737,22
278,smartbench_0738,22
279,smartbench_0739,22
280,smartbench_0740,22
281,smartbench_0741,22
282,smartbench_0742,22
283,smartbench_0743,59
284,smartbench_0744,22
285,smartbench_0745,22
286,smartbench_0746,22
287,smartbench_0747,22
288,smartbench_0748,22
289,smartbench_0749,22
290,smartbench_0750,22
291,smartbench_0751,31
292,smartbench_0752,29
293,smartbench_0753,29
294,smartbench_0754,29
295,smartbench_0755,29
296,smartbench_0756,29
297,smartbench_0757,29
298,smartbench_0758,29
299,smartbench_0759,30
300,smartbench_0760,29
301,smartbench_0761,7
302,smartbench_0762,29
303,smartbench_0763,7
304,smartbench_0764,30
305,smartbench_0765,31
306,smartbench_0766,7
307,smartbench_0767,30
308,smartbench_0768,30
309,smartbench_0769,29
310,smartbench_0770,30
311,smartbench_0771,30
312,smartbench_0774,67
313,smartbench_0775,7
314,smartbench_0776,19
315,smartbench_0777,7
316,smartbench_0778,7
317,smartbench_0779,7
318,smartbench_0780,30
319,smartbench_0781,7
320,smartbench_0783,7
321,smartbench_0784,38
322,smartbench_0785,7
323,smartbench_0788,7
324,smartbench_0789,7
325,smartbench_0790,7
326,smartbench_0792,7
327,smartbench_0793,7
328,smartbench_0794,7
329,smartbench_0796,7
330,smartbench_0798,7
331,smartbench_0801,7
332,smartbench_0803,7
333,smartbench_0804,7
334,smartbench_0805,7
335,smartbench_0806,20
336,smartbench_0807,7
337,smartbench_0808,7
338,smartbench_0809,7
339,smartbench_0811,7
340,smartbench_0813,7
341,smartbench_0814,7
342,smartbench_0815,7
343,smartbench_0816,7
344,smartbench_0818,7
345,smartbench_0819,7
346,smartbench_0822,7
347,smartbench_0823,7
348,smartbench_0824,7
349,smartbench_0825,7
350,smartbench_0826,7
351,smartbench_0827,7
352,smartbench_0828,7
353,smartbench_0832,7
354,smartbench_0833,7
355,smartbench_0834,7
356,smartbench_0835,7
357,smartbench_0836,7
358,smartbench_0837,7
359,smartbench_0840,65
360,smartbench_0841,7
361,smartbench_0843,57
362,smartbench_0844,7
363,smartbench_0845,7
364,smartbench_0846,7
365,smartbench_0847,7
366,smartbench_0854,0
367,smartbench_0855,7
368,smartbench_0858,7
369,smartbench_0859,7
370,smartbench_0860,7
371,smartbench_0861,7
372,smartbench_0862,7
373,smartbench_0864,7
374,smartbench_0866,7
375,smartbench_0867,6
376,smartbench_0868,6
377,smartbench_0871,6
378,smartbench_0872,6
379,smartbench_0873,6
380,smartbench_0874,6
381,smartbench_0875,6
382,smartbench_0877,6
383,smartbench_0878,7
384,smartbench_0879,6
385,smartbench_0880,6
386,smartbench_0897,38
387,smartbench_0898,64
388,smartbench_0899,7
389,smartbench_0902,5
390,smartbench_0905,49
391,smartbench_0906,45
392,smartbench_0907,45
393,smartbench_0908,13
394,smartbench_0909,108
395,smartbench_0910,10
396,smartbench_0911,11
397,smartbench_0916,7
398,smartbench_0917,-6
399,smartbench_0918,22
400,smartbench_0920,43
401,smartbench_0921,4
402,smartbench_0923,-4
403,smartbench_0927,7
404,smartbench_0929,6
405,smartbench_0930,8
406,smartbench_0933,2
407,smartbench_0941,8
